anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
57248858,2016-02-03,11031871,Large Triplex Penthouse Arpoador,Copacabana,Entire rental unit,Entire home/apt,7,3.0,3.0,814.0,3,1125,t,24,4.43,t
57248858,2016-02-03,11035976,Spacious Duplex Penthouse Arpoador,Copacabana,Entire rental unit,Entire home/apt,10,4.0,5.0,1167.0,3,1125,t,75,4.72,f
57248858,2016-02-03,11037099,Stunning View 2 bedroom Arpoador,Ipanema,Entire rental unit,Entire home/apt,4,2.0,2.0,601.0,3,1125,t,86,4.84,f
57293703,2016-02-03,11040423,"Recreio dos Bandeirantes, Praia",Recreio dos Bandeirantes,Private room in rental unit,Private room,2,1.0,1.0,240.0,1,30,t,3,5.0,f
57369024,2016-02-04,11053662,Olimpíadas melhor condomínio Barra,Barra da Tijuca,Entire rental unit,Entire home/apt,15,3.0,8.0,2000.0,30,60,t,0,,f
57406228,2016-02-04,11060579,Suíte aconchegante em Copacabana,Copacabana,Private room in rental unit,Private room,2,1.0,0.0,300.0,1,1125,t,5,5.0,t
55716143,2016-01-22,11061112,Bedroom Ipanema 2 - Bi-cama,Ipanema,Private room in rental unit,Private room,2,1.0,2.0,243.0,1,31,t,32,4.84,f
57437565,2016-02-04,11066124,"Ipanema, A Must!!",Ipanema,Entire rental unit,Entire home/apt,5,1.0,2.0,126.0,2,1125,t,179,4.77,t
53542976,2016-01-06,11085228,Ipanema beach Rio 2016 Olympics,Ipanema,Private room in rental unit,Private room,3,1.0,2.0,100.0,1,1125,t,149,4.86,f
57617555,2016-02-06,11095495,Bedroom for Holidays,Barra da Tijuca,Private room in condominium (condo),Private room,1,1.0,3.0,180.0,25,30,t,1,0.0,t
58167574,2016-02-10,11177161,ALUGO PENTHAUSE NAS OLIMPÍADAS!!!!!,Recreio dos Bandeirantes,Entire place,Entire home/apt,4,1.0,2.0,1250.0,15,30,t,0,,f
58173397,2016-02-10,11178084,Completo-Silencioso-Rua Bolivar-Longe de Favelas,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,209.0,14,89,t,46,4.65,f
58184184,2016-02-10,11179641,Large Apartment in Copacabana,Copacabana,Entire condominium (condo),Entire home/apt,4,3.0,0.0,1338.0,5,30,t,2,5.0,f
54398007,2016-01-12,11182781,Wonderful Apartment in Front of the Beach,Barra da Tijuca,Entire condominium (condo),Entire home/apt,6,3.0,3.0,200.0,3,1125,t,95,4.71,f
58215318,2016-02-10,11184226,ÓTIMO APARTAMENTO DE 2 QUARTOS EM COPACABANA,Copacabana,Entire rental unit,Entire home/apt,6,3.0,6.0,329.0,5,1125,t,0,,f
58147932,2016-02-10,11186512,Apartamento próximo Parque Olímpico,Jacarepaguá,Entire rental unit,Entire home/apt,4,2.0,2.0,800.0,15,30,t,0,,f
58317691,2016-02-11,11199955,APT Jardim Oceanico Tijuca Station 1 (Posto 1),Barra da Tijuca,Entire rental unit,Entire home/apt,4,3.0,3.0,250.0,4,25,t,22,4.81,f
58473677,2016-02-12,11222223,Cobertura Recreio em Condominio Resort,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,8,3.0,8.0,280.0,2,1125,t,0,,f
53544659,2016-01-06,11225383,Apartamento perfeito p/ Olimpíadas,Jacarepaguá,Entire rental unit,Entire home/apt,6,2.0,3.0,1000.0,30,30,t,0,,f
58498871,2016-02-12,11225563,apt 2 quartos na vila olimpica,Jacarepaguá,Entire rental unit,Entire home/apt,5,2.0,2.0,1000.0,15,30,t,0,,f
58500277,2016-02-12,11225912,Apartment IPANEMA Barão da Torre,Ipanema,Entire rental unit,Entire home/apt,4,1.0,1.0,180.0,3,365,t,85,4.87,t
58505562,2016-02-12,11226635,Apartamento para Olimpíadas RJ,Recreio dos Bandeirantes,Entire rental unit,Entire home/apt,4,2.0,3.0,1423.0,3,1125,t,1,4.0,f
58520824,2016-02-12,11228301,Varandão c/ vista praia da Barra Posto 4,Barra da Tijuca,Entire rental unit,Entire home/apt,5,2.0,2.0,571.0,2,1125,t,7,5.0,t
58596666,2016-02-13,11237985,Suite próximo ao Arpoador!,Ipanema,Private room in rental unit,Private room,3,1.0,1.0,280.0,3,1125,t,1,5.0,f
58596666,2016-02-13,11238335,Quarto amplo próximo ao Arpoador,Ipanema,Private room in rental unit,Private room,2,1.0,1.0,250.0,3,1125,t,2,4.5,f
58615617,2016-02-13,11240363,Apto - Olimpíadas Barra da Tijuca,Barra da Tijuca,Entire rental unit,Entire home/apt,7,2.0,4.0,1600.0,15,26,t,0,,f
58633870,2016-02-13,11242608,Penthouse / Cobertura - Olympics,Jacarepaguá,Entire rental unit,Entire home/apt,7,2.0,5.0,797.0,2,1125,t,1,5.0,f
