anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
29732847,2015-03-21,6574330,Perfect 1BR LOFT Apartment Ipanema,Ipanema,Entire rental unit,Entire home/apt,4,,2.0,145.0,4,1125,t,39,4.74,f
34399284,2015-05-27,6576432,Apto charmoso de frente a Praia da Barra!,Barra da Tijuca,Entire condominium (condo),Entire home/apt,3,2.0,3.0,520.0,2,1125,t,7,4.83,f
34438361,2015-05-28,6584804,"Comfortable, bright and safe!",Barra da Tijuca,Entire rental unit,Entire home/apt,2,2.0,1.0,190.0,2,15,t,11,4.91,f
34458327,2015-05-28,6587580,COPACABANA SEAVIEUW FOR OLYMPICS,Copacabana,Entire rental unit,Entire home/apt,4,2.0,2.0,752.0,90,360,t,0,,f
29475411,2015-03-16,6597468,Apart-Hotel de Luxo na Barra,Barra da Tijuca,Entire rental unit,Entire home/apt,4,1.0,2.0,300.0,1,1125,t,89,4.66,t
34458327,2015-05-28,6610556,APPART 120 M2,Copacabana,Entire rental unit,Entire home/apt,5,2.0,2.0,689.0,30,1125,t,0,,f
13664216,2014-03-29,6611554,VISTA MAR - COPACABANA,Copacabana,Entire rental unit,Entire home/apt,2,1.0,0.0,350.0,2,60,t,2,5.0,f
13664216,2014-03-29,6611816,701- CONFORTO PRAIA DE COPACABANA POSTO 6,Copacabana,Entire rental unit,Entire home/apt,3,1.0,1.0,480.0,5,30,t,3,5.0,f
5573690,2013-03-22,6613457,Lindo e Seguro para 4 pessoas Apartamento Inteiro,Barra da Tijuca,Entire rental unit,Entire home/apt,4,1.0,4.0,249.0,3,1125,t,2,5.0,f
34778377,2015-06-01,6644513,Worderfull Flat with 02 double beds,Barra da Tijuca,Entire rental unit,Entire home/apt,4,2.0,2.0,1001.0,2,1125,t,2,5.0,f
34463678,2015-05-28,6645110,Comfortable suite in Copacabana.,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,81.0,3,1125,t,117,4.65,t
21678510,2014-09-23,6673810,APARTMENT FLAT 01 BEDROOM HOTEL SERVICE,Copacabana,Entire serviced apartment,Entire home/apt,4,1.0,2.0,257.0,2,1125,t,53,4.89,f
34933699,2015-06-03,6674576,Condomínio tranquilo perto da praia,Barra da Tijuca,Private room in rental unit,Private room,2,1.0,2.0,180.0,2,1125,t,1,5.0,f
34876782,2015-06-03,6676568,Cobertura Delicia da Muzema/RJ,Barra da Tijuca,Entire rental unit,Entire home/apt,10,3.0,12.0,800.0,4,30,t,3,3.67,f
35072076,2015-06-05,6700194,Apart Hotel-Barra da Tijuca,Barra da Tijuca,Entire rental unit,Entire home/apt,3,1.0,2.0,275.0,4,1125,t,9,4.63,f
21853137,2014-09-27,6703845,Oceanview ArpoadorCopacabanaIpanema,Ipanema,Entire rental unit,Entire home/apt,6,2.0,4.0,1178.0,20,30,t,0,,f
30721359,2015-04-06,6704382,ilive022 - Penthouse 3 Suítes in Ipanema,Ipanema,Entire rental unit,Entire home/apt,6,3.0,3.0,2442.0,3,1125,t,0,,f
35158672,2015-06-06,6715272,Spacious and modern in Ipanema,Ipanema,Entire rental unit,Entire home/apt,7,3.0,4.0,604.0,4,1125,t,90,4.82,t
35379929,2015-06-09,6757790,IPANEMA Excelente a uma quadra da praia!,Ipanema,Entire rental unit,Entire home/apt,6,3.0,5.0,320.0,2,1125,t,127,4.83,f
22290335,2014-10-08,6778016,OCEAN FRONT RESORT BARRA DA TIJUCA,Barra da Tijuca,Entire rental unit,Entire home/apt,5,2.0,3.0,750.0,3,30,t,4,5.0,t
2294546,2012-05-04,6783812,Condominio tipo resort na barra,Barra da Tijuca,Private room in condominium (condo),Private room,3,1.0,3.0,200.0,2,1125,t,2,5.0,f
35552980,2015-06-11,6791663,Olimpic Games Rio 2016,Barra da Tijuca,Entire rental unit,Entire home/apt,3,2.0,2.0,750.0,10,30,t,0,,f
10607843,2013-12-13,6796511,Charming Studio in Copacabana,Copacabana,Entire rental unit,Entire home/apt,2,1.0,1.0,184.0,5,1125,t,118,4.92,t
