anfitriao_id,anfitriao_nome,anf_data_cadastro,anf_tempo_resposta,anf_taxa_resposta,anf_taxa_aceitacao,super_anfitriao,anf_bairro,anf_num_total_anuncios,anf_foto_perfil,anf_identidade_verificada
1612576,Jassanan,2012-01-16,,,,f,Vila da Penha,2.0,t,f
790898,Manoel,2011-07-07,within an hour,100%,96%,t,Leme,0.0,t,t
1763389,Philip,2012-02-16,within an hour,100%,92%,t,Copacabana,2.0,t,t
249191,Durval,2010-09-30,,,,t,Copacabana,1.0,t,t
1786148,Ricardo,2012-02-21,,,,f,Copacabana,1.0,t,f
1707318,Alessandro,2012-02-06,,,,f,Flamengo,1.0,t,f
1809627,Angelica And Bob,2012-02-25,within an hour,100%,96%,t,Copacabana,7.0,t,t
1812201,Eliane,2012-02-26,a few days or more,0%,0%,f,Ipanema,4.0,t,f
1824379,Roger,2012-02-28,within an hour,100%,93%,t,Copacabana,2.0,t,t
1172595,Rafaela,2011-09-17,a few days or more,20%,26%,f,Barra da Tijuca,2.0,t,t
1834286,Carlos,2012-02-29,within an hour,100%,97%,t,Copacabana,7.0,t,t
1858602,Silvia,2012-03-04,within a few hours,100%,93%,t,Ipanema,2.0,t,t
1910409,Leandro,2012-03-12,within a few hours,92%,95%,t,Copacabana,1.0,t,f
1922831,Luiz,2012-03-14,within a day,60%,50%,f,Copacabana,2.0,t,t
1961007,Márcio,2012-03-18,within a day,100%,44%,f,Lapa,1.0,t,t
1974118,Denise,2012-03-20,,,,f,Copacabana,1.0,t,f
1982737,Estadia,2012-03-21,within a few hours,90%,63%,f,Leblon,50.0,t,t
1548126,Ania,2011-12-29,within a day,67%,43%,f,Santa Teresa,1.0,t,t
149407,Ricardo,2010-06-21,within an hour,100%,50%,f,São Conrado,5.0,t,t
1998370,Jean,2012-03-24,,,,f,Copacabana,4.0,t,t
2000722,Pamella,2012-03-24,within a day,50%,87%,t,Copacabana,1.0,t,t
2007018,Ana Lucia,2012-03-25,within an hour,100%,100%,f,Barra da Tijuca,4.0,t,t
261954,Elisa,2010-10-14,within a few hours,100%,0%,f,Flamengo,3.0,t,f
1409553,Heloisa,2011-11-15,within an hour,100%,80%,f,Copacabana,1.0,t,t
581488,Carlos,2011-05-12,,,,f,Copacabana,3.0,t,t
2020642,Frederico,2012-03-27,within an hour,100%,91%,f,Copacabana,4.0,t,t
2025433,Rosane,2012-03-28,,,,f,Copacabana,0.0,t,t
1610574,Alexandra,2012-01-15,within an hour,100%,100%,t,Copacabana,4.0,t,t
396108,Gisella,2011-02-17,within a few hours,100%,71%,t,Lapa,7.0,t,t
