anfitriao_id,anf_data_cadastro,id_anuncio,nome_anuncio,bairro,tipo_propriedade,tipo_acomodacao,numero_hospedes,quartos,camas,preco,min_noites,max_noites,disponivel,numero_avaliaçoes,pontuacao_avaliacoes,confirmacao_instantanea
319227148,2019-12-20,51170844,Apartamento com Wi-Fi e lazer na Barra da Tijuca,Barra da Tijuca,Entire rental unit,Entire home/apt,4,1.0,2.0,302.0,1,1125,t,1,5.0,f
229434751,2018-12-06,51171777,Flat 2 quartos em Botafogo,Botafogo,Entire condominium (condo),Entire home/apt,4,2.0,2.0,289.0,2,1125,t,0,,t
1982737,2012-03-21,51172862,Bedroom and Living Room in Botafogo overlooking Christ the Redeemer,Botafogo,Entire rental unit,Entire home/apt,4,1.0,3.0,250.0,1,365,t,0,,f
376289736,2020-11-19,51173175,Room in a sunny house in central Botafogo,Botafogo,Private room in residential home,Private room,1,1.0,1.0,149.0,2,365,t,0,,f
414176825,2021-07-20,51174493,@chaleurbano com piscina e churrasqueira,Vargem Grande,Entire cottage,Entire home/apt,4,2.0,1.0,500.0,1,365,t,0,,t
352599409,2020-06-29,51174629,Flat Rio Stay Residence Riocentro Suíte-B,Camorim,Entire serviced apartment,Entire home/apt,2,1.0,1.0,107.0,7,1000,t,2,5.0,t
414182766,2021-07-20,51175054,RJ beira mar Copacabana,Copacabana,Entire loft,Entire home/apt,4,1.0,3.0,230.0,2,365,t,3,5.0,t
50762742,2015-12-07,51175589,Vista mar copacabana posto 2,Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,2.0,220.0,3,1125,t,0,,f
49207110,2015-11-16,51175726,IPANEMA Ótimo 2Quartos Com Vaga p/1Carro,Ipanema,Entire rental unit,Entire home/apt,4,2.0,3.0,207.0,3,1125,t,5,4.2,f
414193287,2021-07-20,51175981,Apartamento com localização privilegiada/Botafogo,Botafogo,Private room in rental unit,Private room,3,1.0,2.0,92.0,1,1125,t,8,5.0,t
15533343,2014-05-14,51186186,Copacabana -Apartamento confortável e aconchegante,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,220.0,2,365,t,3,5.0,t
15676596,2014-05-18,51186632,Apartamento Lapa Rio de Janeiro,Centro,Entire rental unit,Entire home/apt,4,2.0,3.0,129.0,3,1125,t,1,5.0,f
341887136,2020-03-17,51186648,Tabas | Lindo 2qtos Leblon a 2qdr da praia | LB002,Leblon,Entire rental unit,Entire home/apt,4,2.0,2.0,450.0,15,1125,t,1,5.0,t
277211468,2019-07-18,51186796,Apartamento em Copacabana na quadra da praia,Copacabana,Entire condominium (condo),Entire home/apt,6,1.0,3.0,301.0,2,1125,t,5,5.0,f
159888313,2017-11-23,51187416,Quarto ótimo/apê de artistas/2 quadras da praia,Copacabana,Private room in rental unit,Private room,2,1.0,,109.0,2,10,t,0,,f
386433121,2021-01-28,51188613,Apto Lagoa piscina sauna academia vaga,Lagoa,Private room in rental unit,Private room,1,1.0,1.0,300.0,1,365,t,0,,f
318672692,2019-12-18,51190148,Moderno loft reformado na 2° quadra da praia,Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,1.0,250.0,3,365,t,0,,f
411697033,2021-07-08,51191580,"Quarto inteiro, aconchegante para até 4 pessoas.",Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,1.0,139.0,2,365,t,0,,f
254019827,2019-04-08,51195339,Alugo ótimo quarto de casal em Copacabana,Copacabana,Private room in rental unit,Private room,2,1.0,1.0,90.0,2,365,t,0,,f
25426676,2014-12-31,51196086,Vaga casa compartilhada Lapa-RJ /Somente Réveillon,Santa Teresa,Shared room in residential home,Shared room,8,1.0,8.0,200.0,1,365,t,0,,f
235071060,2019-01-07,51198523,Apartamento funcional e arejado no Centro do Rj,Centro,Entire condominium (condo),Entire home/apt,2,1.0,1.0,133.0,5,365,t,0,,t
382144177,2020-12-29,51199852,"Jardim oceânico ao lado do metrô, praia e comércio",Barra da Tijuca,Entire rental unit,Entire home/apt,8,3.0,3.0,650.0,3,60,t,4,5.0,f
413323040,2021-07-16,51205034,Quarto Moderno à 300 metros da Praia de Copacabana,Copacabana,Room in hotel,Private room,2,1.0,1.0,278.0,1,365,t,0,,t
413323040,2021-07-16,51205252,Quarto Moderno à 10km do Aeroporto Santos Dumont,Copacabana,Room in hotel,Private room,2,1.0,1.0,246.0,1,365,t,0,,t
413323040,2021-07-16,51205304,Room at In Front of Arcoverde Subway Station,Copacabana,Room in hotel,Private room,2,1.0,1.0,278.0,1,365,t,0,,t
413323040,2021-07-16,51205376,Modern Room at 300 meters from Copacabana Beach,Copacabana,Room in hotel,Private room,2,1.0,1.0,278.0,1,365,t,0,,t
413323040,2021-07-16,51205407,Modern Room 10km from Santos Dumont Airport,Copacabana,Room in hotel,Private room,2,1.0,1.0,246.0,1,365,t,0,,t
80353884,2016-06-27,51205954,MOTORHOME Kombi Safari no RJ! Experiência Única!,Recreio dos Bandeirantes,Camper/RV,Entire home/apt,3,1.0,2.0,500.0,1,365,t,0,,t
27994357,2015-02-19,51206149,Cobertura Prudente de Moraes - Ipanema,Ipanema,Entire condominium (condo),Entire home/apt,4,2.0,2.0,1300.0,28,1125,t,0,,f
141021345,2017-07-17,51208183,"Casa  no alto da favela  Tabajaras, em Copacabana",Copacabana,Private room in residential home,Private room,4,2.0,2.0,97.0,1,365,t,0,,t
55042283,2016-01-17,51210397,Boa localização no Leblon.,Leblon,Entire condominium (condo),Entire home/apt,2,1.0,2.0,140.0,3,1125,t,3,4.67,t
265261614,2019-05-30,51210697,Apartamento a 200 metros da Praia de Copacabana,Copacabana,Casa particular,Entire home/apt,4,1.0,4.0,78.0,2,60,t,4,5.0,f
233232911,2018-12-29,51214002,Aconchegante quarto!!,Catete,Private room in rental unit,Private room,2,1.0,1.0,62.0,2,4,t,1,4.0,t
366913236,2020-09-10,51214483,#703 TIR9 Apartamento Do lado do metrô Copacabana,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,25000.0,1,365,t,2,5.0,t
414711556,2021-07-23,51227855,Apartamento a 100 mts da Melhor praia Copacabana,Copacabana,Entire condominium (condo),Entire home/apt,4,1.0,1.0,200.0,1,365,t,0,,t
239823919,2019-01-29,51228472,Cobertura Encantadora Vista Mar com Piscina,Recreio dos Bandeirantes,Entire condominium (condo),Entire home/apt,6,2.0,3.0,1000.0,10,30,t,0,,t
28279335,2015-02-24,51229876,"FRENTE MAR NA PRAIA DO PEPE, LINDO E NOVINHO",Barra da Tijuca,Entire condominium (condo),Entire home/apt,4,1.0,2.0,650.0,4,28,t,1,5.0,f
20652613,2014-08-28,51231103,Quarto em apartamento charmoso na Tijuca,Tijuca,Private room in rental unit,Private room,2,1.0,1.0,60.0,3,90,t,0,,f
399946742,2021-05-04,51233024,Cobertura com piscina e vista mar,Barra da Tijuca,Entire condominium (condo),Entire home/apt,8,4.0,6.0,1200.0,365,365,t,0,,t
5615480,2013-03-25,51233072,Apartamento TOP Ipanema !!   3 Quartos,Copacabana,Entire rental unit,Entire home/apt,5,3.0,3.0,750.0,2,15,t,0,,t
414844465,2021-07-24,51240667,Cozy Copacabana,Copacabana,Entire rental unit,Entire home/apt,4,1.0,2.0,290.0,5,365,t,0,,f
183785718,2018-04-11,51244445,Loft encantador em Copacabana,Copacabana,Entire loft,Entire home/apt,3,1.0,2.0,130.0,3,365,t,0,,f
315020019,2019-12-06,51244594,Flat Carioca Completo,Copacabana,Entire serviced apartment,Entire home/apt,4,,3.0,143.0,1,15,t,1,5.0,t
5713707,2013-04-01,51247384,Lovey 2 bed-room full equipped condo in Flamengo,Laranjeiras,Entire condominium (condo),Entire home/apt,3,2.0,3.0,300.0,6,90,t,0,,t
414914119,2021-07-24,51247529,Casa Itanhangá suíte individual,Itanhangá,Private room in townhouse,Private room,2,2.0,1.0,190.0,3,365,t,0,,t
414943768,2021-07-24,51250628,Villa Niemeyer,São Conrado,Entire villa,Entire home/apt,8,4.0,4.0,3100.0,3,1125,t,0,,t
